                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78771,                0.42069,                0.81186,                0.84359,                0.84946,                0.90233,                0.68543,                 0.8057,                0.42901,                0.80991,              0.0033328,              0.0033328,              0.0033328
                      2,                0.83198,                0.46563,                 0.8183,                0.86259,                0.80907,                0.89451,                 0.6752,                0.81008,                0.44128,                0.81249,              0.0066002,              0.0066002,              0.0066002
                      3,                0.87838,                 0.5315,                0.82476,                0.82346,                0.76458,                0.86284,                 0.6472,                0.83106,                0.48563,                0.81463,              0.0098015,              0.0098015,              0.0098015
                      4,                0.92356,                0.60507,                0.83086,                0.82399,                0.74473,                0.85593,                0.64317,                0.83159,                0.47803,                0.81564,               0.009703,               0.009703,               0.009703
                      5,                0.92933,                0.61046,                0.83065,                0.78897,                0.77358,                0.85991,                0.64545,                0.82711,                0.47172,                0.81441,               0.009703,               0.009703,               0.009703
                      6,                0.92643,                0.60417,                0.83139,                0.80376,                0.79444,                0.86278,                0.64493,                0.82277,                0.46595,                0.81397,               0.009604,               0.009604,               0.009604
                      7,                0.92656,                0.60047,                0.83062,                 0.7844,                 0.8159,                0.87651,                0.66067,                0.81608,                0.45531,                0.81373,               0.009505,               0.009505,               0.009505
                      8,                0.92204,                0.59189,                0.83091,                0.85595,                0.78138,                0.88221,                0.66737,                0.81143,                0.44768,                0.81262,               0.009406,               0.009406,               0.009406
                      9,                0.91981,                0.58751,                0.83086,                0.83704,                0.79678,                0.88522,                0.67035,                0.80411,                0.44023,                0.81188,               0.009307,               0.009307,               0.009307
                     10,                  0.915,                0.58274,                 0.8303,                0.85803,                0.79885,                 0.8916,                0.67393,                0.80236,                 0.4346,                0.81173,               0.009208,               0.009208,               0.009208
                     11,                0.91408,                0.58282,                0.82962,                0.84529,                0.82169,                0.89799,                0.68278,                0.79787,                0.43046,                0.81117,               0.009109,               0.009109,               0.009109
                     12,                0.91058,                0.57519,                0.82953,                0.87511,                0.80225,                0.90348,                0.68774,                0.79471,                0.42592,                0.81037,                0.00901,                0.00901,                0.00901
                     13,                0.90761,                 0.5729,                0.82937,                0.81679,                0.85895,                0.90206,                0.68672,                0.79225,                0.42381,                0.81009,               0.008911,               0.008911,               0.008911
                     14,                0.90436,                 0.5668,                0.82834,                0.83041,                0.84423,                0.90613,                0.68846,                 0.7904,                0.42116,                0.80963,               0.008812,               0.008812,               0.008812
                     15,                0.90181,                0.56386,                0.82686,                0.85056,                0.84048,                0.90808,                0.69077,                0.78901,                0.41849,                0.80937,               0.008713,               0.008713,               0.008713
