                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74081,                0.37741,                0.80479,                0.92142,                0.85991,                0.95071,                0.72626,                0.79557,                0.39781,                0.80732,              0.0033328,              0.0033328,              0.0033328
                      2,                0.78363,                0.41322,                0.81024,                0.88822,                  0.888,                0.94425,                0.72565,                0.78565,                0.40089,                0.80786,              0.0066002,              0.0066002,              0.0066002
                      3,                0.82324,                0.46114,                0.81618,                0.88265,                0.84393,                0.92677,                0.70482,                0.79976,                0.42979,                0.81053,              0.0098015,              0.0098015,              0.0098015
                      4,                 0.8689,                0.52551,                0.82183,                0.83651,                0.86048,                0.92332,                0.69741,                0.80531,                0.43096,                0.81097,               0.009703,               0.009703,               0.009703
                      5,                0.87423,                0.53064,                0.82166,                0.90224,                0.80373,                0.91231,                0.69407,                0.80047,                 0.4268,                0.81009,               0.009703,               0.009703,               0.009703
                      6,                0.87476,                0.52987,                 0.8227,                0.86455,                0.84359,                0.93526,                0.71406,                0.79256,                0.42174,                0.80912,               0.009604,               0.009604,               0.009604
                      7,                0.87297,                0.52496,                0.82201,                0.89195,                 0.8647,                0.93392,                0.70667,                0.78679,                0.41101,                 0.8089,               0.009505,               0.009505,               0.009505
                      8,                0.86882,                 0.5199,                0.82213,                0.86521,                0.87463,                0.93716,                0.71596,                0.78432,                0.40284,                0.80781,               0.009406,               0.009406,               0.009406
                      9,                0.86789,                0.51624,                0.82211,                0.87359,                0.87363,                0.94117,                0.72629,                0.77625,                0.39875,                0.80696,               0.009307,               0.009307,               0.009307
                     10,                0.86296,                0.51135,                0.82165,                0.91935,                0.86158,                0.93969,                0.72136,                0.77248,                 0.3894,                0.80621,               0.009208,               0.009208,               0.009208
                     11,                0.86397,                0.51127,                0.82125,                0.91771,                0.85821,                0.94602,                0.72869,                0.77115,                0.38847,                0.80645,               0.009109,               0.009109,               0.009109
                     12,                0.86117,                0.50748,                0.82081,                0.87758,                0.89724,                 0.9492,                0.73143,                0.76962,                0.38626,                0.80592,                0.00901,                0.00901,                0.00901
                     13,                0.85961,                0.50691,                0.82086,                  0.913,                0.88086,                0.94427,                0.72949,                0.76713,                 0.3833,                0.80561,               0.008911,               0.008911,               0.008911
                     14,                0.85702,                0.50287,                0.82014,                0.92367,                0.87286,                0.94405,                0.72913,                0.76532,                0.38171,                0.80533,               0.008812,               0.008812,               0.008812
                     15,                0.85511,                 0.5009,                0.81884,                0.91322,                0.87318,                0.94463,                0.73484,                0.76387,                0.38012,                 0.8051,               0.008713,               0.008713,               0.008713
                     16,                0.85233,                0.49716,                0.81964,                 0.8974,                0.88798,                0.94777,                 0.7349,                0.76316,                0.37909,                0.80501,               0.008614,               0.008614,               0.008614
                     17,                0.85131,                0.49542,                0.81899,                0.88469,                0.89186,                0.94827,                0.73687,                0.76184,                0.37813,                0.80471,               0.008515,               0.008515,               0.008515
                     18,                0.84704,                 0.4908,                0.81896,                 0.8822,                0.90139,                0.94815,                0.73511,                0.76093,                 0.3775,                0.80457,               0.008416,               0.008416,               0.008416
                     19,                0.84581,                0.49195,                0.81877,                0.88738,                0.89945,                0.94814,                0.73388,                0.76046,                0.37644,                0.80453,               0.008317,               0.008317,               0.008317
                     20,                0.84531,                0.48798,                0.81767,                0.89096,                0.89588,                0.94875,                0.73437,                0.75997,                0.37589,                0.80442,               0.008218,               0.008218,               0.008218
                     21,                0.84312,                0.48621,                0.81791,                0.89733,                0.89445,                0.94964,                0.73462,                0.75898,                0.37517,                0.80424,               0.008119,               0.008119,               0.008119
                     22,                  0.842,                0.48331,                0.81828,                0.89104,                0.89372,                0.94781,                0.73408,                0.75856,                 0.3751,                0.80417,                0.00802,                0.00802,                0.00802
                     23,                0.84222,                 0.4846,                0.81708,                0.89608,                0.89355,                0.94735,                0.73599,                0.75841,                0.37514,                 0.8041,               0.007921,               0.007921,               0.007921
                     24,                0.83854,                0.48163,                0.81761,                0.90263,                0.89087,                0.94753,                0.73836,                0.75821,                0.37426,                0.80403,               0.007822,               0.007822,               0.007822
                     25,                0.83766,                0.47849,                0.81697,                 0.9015,                0.89222,                0.94784,                0.73675,                0.75732,                0.37358,                0.80389,               0.007723,               0.007723,               0.007723
                     26,                0.83597,                0.47719,                0.81711,                0.90642,                 0.8904,                0.94768,                0.73698,                0.75694,                0.37293,                0.80379,               0.007624,               0.007624,               0.007624
                     27,                0.83339,                0.47638,                0.81695,                0.89665,                0.89975,                0.94845,                0.73902,                0.75658,                 0.3726,                0.80373,               0.007525,               0.007525,               0.007525
